lpAddress,lpName,protocolName,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,Uniswap V2,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xf4d2888d29d722226fafa5d9b24f9164c092421e,LOOKS,18
0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,Curve CVX-ETH,Curve,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,18
0xc26b89a667578ec7b3f11b2f98d6fd15c07c54ba,Curve.fi Factory Crypto Pool: YFI/ETH,Curve,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI,18
0x3d3f13f2529ec3c84b2940155effbf9b39a8f3ec,SushiSwap LP Token,SushiSwap,0xa5f2211b9b8170f694421f2046281775e8468044,THOR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x6033368e4a402605294c91cf5c03d72bd96e7d8d,Uniswap V2,Uniswap V2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,X2Y2,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x418b46dc2e36264211f69bb98f9d51a51bc824b7,Uniswap V2,Uniswap V2,0x426fc8be95573230f6e6bc4af91873f0c67b21b4,BPLC,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6
0xa89d32f678f5fa05bb17999d0bef62bb011f441f,Uniswap V2:Mikaboshi/USDT,Uniswap V2,0xae86f48c0b00f2a3eaef4ba4c23d17368f0f63f4,Mikaboshi,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6
0x7b12d855445073987d45ea97b1af3554f05e4ef4,UniswapV3 LP,Uniswap V3,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,WOOL,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,UniswapV3 LP,Uniswap V3,0x4a220e6096b25eadb88358cb44068a3248254675,QNT,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x4028daac072e492d34a3afdbef0ba7e35d8b55c4,Uniswap V2,Uniswap V2,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
