blockNumber,txHash,token_symbols,token_addresses,pools,pool_addresses
16089414,0xa516bee1da25cd764103d46deb2199145debf5b91bd4f26385b1bc40bd22bdd7,USDC WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC-WETH-0.0005(usp3),0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
16089415,0x5f6ad9490a5accb32b2cf30dc50b81f9adfd7484edf8a281b0a13bf436954005,BNT INST WETH,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c 0x6f40d4a6237c257fff2db00fa0510deeecd303eb 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BNT-WETH(usp2) INST-WETH-0.003(usp3),0x3fd4cf9303c4bc9e13772618828712c8eac7dd2f 0xcba27c8e7115b4eb50aa14999bc0866674a96ecb
16089415,0xaf09273ffc5d1298a10e65c021a82f67d5e6b97724ffb3aaffa2b63306a86828,ARTH MAHA WETH DAI,0x8cc0f052fff7ead7f2edcccac895502e884a8a71 0xb4d930279552397bba2ee473229f89ec245bc365 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x6b175474e89094c44da98b954eedeac495271d0f,ARTH-WETH-0.010(usp3) DAI-WETH-0.0005(usp3) DAI-MAHA-0.010(usp3) ARTH-MAHA-0.010(usp3),0xe7cdba5e9b0d5e044aab795cd3d659aac8db869b 0x60594a405d53811d3bc4766596efd80fd545a270 0x8cb8f052e7337573cd59d33bb67b2acbb65e9876 0xc5ee69662e7ef79e503be9d54c237d5aafac305d
16089416,0x91fc52589b4162f98a3f8aa9ea9dc3757f5db2796b11b2dfcdd70e2788ae9da3,WETH FUND,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe9b076b476d8865cdf79d1cf7df420ee397a7f75,WETH-FUND-0.010(usp3),0x88395224c3709be9a700624bd9246459585c56b0
16089419,0x126fff106294d3a1f0a3ec37f218543a56464799745f6799bc7116e86017b23e,USDC OCC WETH RAD,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x2f109021afe75b949429fe30523ee7c0d5b27207 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,RAD-USDC(usp2) OCC-WETH(usp2) RAD-WETH(usp2) OCC-USDC(usp2),0x8c1c499b1796d7f3c2521ac37186b52de024e58c 0x14b6154bcbf537368af932901456a7feb57cbe5a 0xf2f98cbd5d84640a2c5cfda5c996cd830067bc95 0xedf1fa564a91a5664f172470c47450af17724757
16089419,0x7ba2fe22a973384c711a336e3a5315780e60a388badf8a1f07a0646c2b69bddf,USDC LBlock USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x2b867efd2de4ad2b583ca0cb3df9c4040ef4d329 0xdac17f958d2ee523a2206206994597c13d831ec7,LBlock-USDT(usp2) LBlock-USDC-0.010(usp3) USDC-USDT(usp2),0x928001f8a568ac944e682b5cadb1e91adaf154a5 0x2123bc884f56c514f314bdbb9ad7312b2485f743 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
16089423,0x24ae0d2aa191348b5fbf513ed0cbb57cbb71145add50e17021d9ae22225f6aaa,LOOKS WETH,0xf4d2888d29d722226fafa5d9b24f9164c092421e 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH-LOOKS-0.003(usp3) WETH-LOOKS(usp2),0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7
16089424,0x0c1ec961ceedefb7c55c39aae62488bd7158b688b83b7dfdb2891c2469b23860,WETH FUND,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe9b076b476d8865cdf79d1cf7df420ee397a7f75,WETH-FUND-0.010(usp3),0x88395224c3709be9a700624bd9246459585c56b0
16089432,0x2d50cc36435f550920b008af34238eed076aa85cdd11a7f2247f15f32a4935d3,POOLZ WETH,0x69a95185ee2a045cdc4bcd1b1df10710395e4e23 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,POOLZ-WETH(usp2),0x70a3944215de6fa1463a098ba182634df90bb9f4
16089433,0xc6fd17fd5281caa4df68864274053c9e7f0b6dfb90dd75d0a766d118bfd4e7a9,USDC MPL WETH SFS-LP,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x33349b282065b0284d756f0577fb39c158f935e6 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xc03a8c8b7a1e63197c84bf4817ce599f680a5f20,MPL-USDC(usp2) MPL_50/USDC_50(blcr),0x7b28470032da06051f2e620531adbaeadb285408 0xc1b10e536cd611acff7a7c32a9e29ce6a02ef6ef
